x y z
0.05846154 0.03897436 0.00000000
0.09743590 0.16564103 0.00000000
0.14128205 0.08769231 0.00000000
0.04384615 0.06333333 0.00000000
0.00000000 0.14615385 -nan
0.02923077 0.08282051 0.00000000
0.01461538 0.11692308 0.00000000
0.18512821 0.01461538 3.57885537
0.12666667 0.11692308 0.00000000
0.17051282 0.03897436 1.22833027
0.08282051 0.19000000 0.00000000
0.07307692 0.00974359 3.56114664
0.05846154 0.04384615 0.00000000
0.04384615 0.06820513 0.00000000
0.11205128 0.14128205 0.00000000
0.15589744 0.05846154 0.00000000
0.14128205 0.09256410 0.00000000
0.09743590 0.17051282 0.00000000
0.00000000 0.15102564 -nan
0.05846154 0.04871795 0.00000000
0.02923077 0.08769231 0.00000000
0.18512821 0.01948718 2.87384301
0.01461538 0.12179487 0.00000000
0.12666667 0.12179487 0.00000000
0.17051282 0.04384615 0.94655772
0.08282051 0.19487179 0.00000000
0.07307692 0.01461538 1.97535771
0.04384615 0.07307692 0.00000000
0.14128205 0.09743590 0.00000000
0.11205128 0.14615385 0.00000000
0.15589744 0.06333333 0.00000000
0.00000000 0.15589744 -nan
0.09743590 0.17538462 0.00000000
0.18512821 0.02435897 2.37227927
0.05846154 0.05358974 0.00000000
0.02923077 0.09256410 0.00000000
0.01461538 0.12666667 0.00000000
0.12666667 0.12666667 0.00000000
0.07307692 0.01948718 0.12412703
0.17051282 0.04871795 0.65635205
0.08769231 0.00487179 6.64597106
0.14128205 0.10230769 0.00000000
0.04384615 0.07794872 0.00000000
0.00000000 0.16076923 -nan
0.15589744 0.06820513 0.00000000
0.11205128 0.15102564 0.00000000
0.18512821 0.02923077 1.98391915
0.09743590 0.18025641 0.00000000
0.05846154 0.05846154 0.00000000
0.02923077 0.09743590 0.00000000
0.12666667 0.13153846 0.00000000
0.07307692 0.02435897 0.00000000
0.08769231 0.00974359 3.90883840
0.01461538 0.13153846 0.00000000
0.17051282 0.05358974 0.27293544
0.14128205 0.10717949 0.00000000
0.04384615 0.08282051 0.00000000
0.11205128 0.15589744 0.00000000
0.15589744 0.07307692 0.00000000
0.18512821 0.03410256 1.66457865
0.00000000 0.16564103 -nan
0.09743590 0.18512821 0.00000000
0.12666667 0.13641026 0.00000000
0.07307692 0.02923077 0.00000000
0.05846154 0.06333333 0.00000000
0.08769231 0.01461538 2.50513182
0.02923077 0.10230769 0.00000000
0.11205128 0.16076923 0.00000000
0.01461538 0.13641026 0.00000000
0.17051282 0.05846154 0.00001462
